MM_mean,MM_std,PT1_mean,PT1_std,checkpoint
-1816188.67,1321798.6698026275,-76921.2,67060.12492785859,1440.0
-1638152.41,1347057.3413712857,-76308.67,91642.66001828025,1460.0
-1633257.58,1330928.6820841315,-83333.82,99223.20270484923,1480.0
-1274471.31,1274222.544323953,-65204.36,89004.316945137,1500.0
-1316149.16,974885.3983350322,-88518.52,93761.2580243546,1520.0
-1566092.37,1288779.4620194326,-80401.32,91457.97083063672,1540.0
-1393472.05,990667.2865634973,-86691.58,90015.58397735139,1560.0
-1323129.52,1232615.4343915705,-58039.45,108062.63685910362,1580.0
-1482396.52,1378959.7629752907,-88208.23,103627.9201957759,1600.0
-1317870.16,1521785.0636609246,-43041.39,73361.48004595395,1620.0
-1803964.82,1848355.344944699,-94751.83,99807.80317212727,1640.0
-1227963.93,1322945.4294479121,-49553.02,75798.34442386984,1660.0
-1022464.65,1100863.2327389687,-53001.14,65625.64413124186,1680.0
-1445802.9,1342372.035249971,-94644.75,106434.14335152277,1700.0
-1292472.97,1094190.1093655773,-94981.07,112067.89327082087,1720.0
-1313150.94,1428720.00111261,-63011.56,93005.27419628631,1740.0
-1132336.91,943333.3908584636,-71381.61,104341.4327915469,1760.0
-1292431.81,1166741.7691197821,-82805.57,99548.76110459688,1780.0
-1032102.54,1161150.5137553609,-57840.68,112920.34896765774,1800.0
-1365081.06,1072252.0009459932,-57076.7,89004.77489309211,1820.0
-1329115.27,1212018.0633462986,-78636.44,106312.87778809489,1840.0
-1090267.91,1013054.5484970327,-76198.49,79069.40592640683,1860.0
-1426305.08,1327627.985377645,-105070.05,93803.49063213213,1880.0
-1476830.1,1356545.1668984818,-78001.03,78229.9097481526,1900.0
-1602728.42,1283834.58873422,-73051.84,129273.27477887453,1920.0
-1345800.28,1119992.0431552366,-97137.61,102003.91123620163,1940.0
-1319505.65,975094.0553084059,-79830.82,94185.62802029618,1960.0
-1189164.65,970346.8849719684,-100208.05,113646.94008059567,1980.0
-1135389.11,998347.9916226721,-79526.22,93039.43224279478,2000.0
-1371422.12,1376727.4536020358,-62387.58,93482.33968436818,2020.0
-1099327.49,826573.4378494902,-79878.49,108106.84364412318,2040.0
-1150662.04,1171074.487685945,-74394.31,99853.78168461574,2060.0
-1148933.52,1010129.8016453279,-68788.41,89555.23550450246,2080.0
-1450482.94,1421995.4026636078,-109233.92,110265.7668654855,2100.0
-1664736.82,1445922.07558201,-136168.88,102768.51456674655,2120.0
-1465262.51,1255768.5875847607,-117082.96,105552.69451074378,2140.0
-1568071.86,1297419.4875998704,-138527.38,147152.84545296975,2160.0
-1475127.27,985727.6005277787,-100683.36,121298.62312565795,2180.0
-1021183.78,886200.0638903901,-110156.41,95979.87043222605,2200.0
-1833385.15,1156454.9329846462,-147842.78,133702.9152850887,2220.0
-1394757.37,1196116.7176196845,-97875.68,109771.15748208907,2240.0
